YNL147W	YDR378C
YNL147W	YCR077C
YNL147W	YMR268C
YNL147W	YPR178W
YNL147W	YBR055C
YNL147W	YLR275W
YNL147W	YKL173W
YNL147W	YDL098C
YNL147W	YOR308C
YNL006W	YHR174W
YNL006W	YCR012W
YAL024C	YHR158C
YDL087C	YOL139C
YDL087C	YMR288W
YDL087C	YHR086W
YHR086W	YDL087C
YDL087C	YML046W
YDL087C	YKL012W
YDL087C	YDR235W
YDL087C	YML049C
YDL087C	YER029C
YDL087C	YLR275W
YDL087C	YLR147C
YDL087C	YPR182W
YPR182W	YDL087C
YDL087C	YIL061C
YIL061C	YDL087C
YDL087C	YKL173W
YDL087C	YDR240C
YDL087C	YGR013W
YDL087C	YMR125W
YMR125W	YDL087C
YDL087C	YGR162W
YDL087C	YLR298C
YLR298C	YDL087C
YBR115C	YGL154C
YPR051W	YEL053C
YPR051W	YCR020C-A
YBR142W	YMR012W
YBR142W	YJL005W
YBR142W	YMR049C
YBR142W	YGL195W
YBR142W	YMR290C
YBR142W	YPL093W
YBR142W	YOL041C
YBR142W	YNL061W
YNL061W	YBR142W
YBR142W	YPL043W
YBR142W	YNL002C
YBR142W	YDR170C
YBR142W	YLR398C
YBR142W	YDR496C
YBR142W	YGL111W
YBR142W	YKL014C
YBR142W	YMR163C
YBR142W	YOR272W
YBR299W	YGR292W
YLR163C	YOL021C
YLR163C	YBR245C
YLR163C	YHR024C
YLR163C	YHR069C
YLR163C	YLR086W
YDL056W	YLR182W
YDL003W	YFL008W
YDL003W	YJL074C
YDL003W	YER147C
YBL023C	YDL171C
YBL023C	YPL001W
YGL201C	YLR274W
YGL201C	YDR427W
YGL201C	YDL185W
YAL010C	YPL235W
YAL010C	YMR203W
YAL010C	YJL066C
YDL005C	YNR010W
YDL005C	YOL051W
YDL005C	YPR070W
YDL005C	YMR112C
YDL005C	YOR174W
YDL005C	YHR058C
YDL005C	YOL135C
YDL005C	YBR193C
YDL005C	YGL151W
YDL005C	YPR168W
YDL005C	YGL025C
YDL005C	YLR071C
YDL005C	YBR079C
YDL005C	YER157W
YDL005C	YNL236W
YDL005C	YHR041C
YDL005C	YER022W
YDL005C	YGR104C
YDL005C	YBR253W
YDL005C	YCR081W
YDL005C	YDR443C
YDL005C	YNL189W
YDL005C	YBR169C
YDL005C	YPL042C
YDL005C	YML007W
YOL135C	YDR448W
YOL135C	YOL086C
YOL135C	YNR010W
YOL135C	YHR174W
YOL135C	YFR019W
YOL135C	YKL060C
YOL135C	YPR070W
YOL135C	YMR112C
YOL135C	YOR174W
YOL135C	YHR058C
YOL135C	YBR193C
YOL135C	YGL151W
YOL135C	YCR012W
YOL135C	YLR071C
YOL135C	YNL236W
YOL135C	YHR041C
YOL135C	YER022W
YOL135C	YGR104C
YOL135C	YBR253W
YBR253W	YOL135C
YOL135C	YDR308C
YOL135C	YCR081W
YOL135C	YDR443C
YOL135C	YNL189W
YOL135C	YGL112C
YOL135C	YKR059W
YOL135C	YIL077C
YMR167W	YNL082W
YNL082W	YMR167W
YPL082C	YOL086C
YPL082C	YGL195W
YPL082C	YLR044C
YPL082C	YER148W
YER148W	YPL082C
YPL082C	YKR001C
YPL082C	YLR249W
YHL004W	YMR186W
YHL004W	YDR347W
YHL004W	YGR084C
YHL004W	YBL090W
YHL004W	YPL118W
YHL004W	YDR337W
YHL004W	YBR251W
YBR251W	YHL004W
YHL004W	YBR146W
YHL004W	YNL137C
YHL004W	YOR158W
YHL004W	YDR041W
YHL004W	YNR037C
YHL004W	YKL155C
YHL004W	YGL129C
YHL004W	YIL093C
YHL004W	YJR101W
YHL004W	YGR215W
YHL004W	YJR113C
YHL004W	YDR036C
YDR036C	YHL004W
YHL004W	YMR158W
YHL004W	YMR188C
YHL004W	YNL306W
YHL004W	YOR243C
YNL284C	YDL145C
YNL284C	YPL204W
YNL284C	YCR046C
YNL284C	YCR071C
YNL284C	YDR296W
YNL284C	YNL005C
YNL284C	YBL038W
YBL038W	YNL284C
YNL284C	YNL252C
YNL284C	YOR150W
YNL284C	YMR193W
YNL284C	YBR282W
YNL284C	YDR462W
YNL284C	YMR024W
YNL284C	YDR322W
YNL284C	YBR122C
YNL284C	YML009C
YNL284C	YLR439W
YNL284C	YMR225C
YNL284C	YHR147C
YNL284C	YDR237W
YNL284C	YOR201C
YNL284C	YFR051C
YNL284C	YDR238C
YNL284C	YGL137W
YNL284C	YBL004W
YNL284C	YDR116C
YNL284C	YER006W
YBL038W	YER155C
YBL038W	YCL014W
YBL038W	YJL005W
YBL038W	YJR138W
YBL038W	YNL005C
YBL038W	YKR085C
YBL038W	YOR150W
YBL038W	YDR462W
